Sample,Strain,THC-Total,CBD-Total
Penelope's Cookie Solution 1,,9.22%,8.97%
Penelope's Creme Brulee 3,,7.88%,8.81%
Penelope's Cookie Shawk,,5.75%,10.03%
MW,,2.31%,< 0.01%
Snow Monster Flower,,18.19%,0.08%
Sapphire Scout 5747,,24.34%,0.07%
Cheese 3507,,20.27%,0.07%
Bubba / Afghani 2 7106,,17.27%,0.07%
Blue Dream 6227,,20.97%,0.09%
Girl Scout Cookie 3887,,21.50%,0.08%
Stone Free,,15.25%,0.08%
Blue Dream,,12.72%,0.04%
Neptune,,17.94%,0.08%
Cherry Pie,,16.67%,0.05%
B,,22.34%,0.12%
A,,19.45%,0.15%
C7,,18.88%,0.08%
C5,,16.62%,0.06%
OTOW Gang Purp: Mic Flont #1,,16.53%,< 0.01%
X7,,17.70%,0.07%
X6,,21.24%,0.06%
X5,,21.46%,0.06%
X4,,23.14%,0.10%
X3,,18.62%,0.08%
X2,,18.62%,0.10%
X1,,23.68%,0.08%
OG 78,,5.79%,11.92%
Grape Royal,,21.65%,0.09%
C,,19.73%,0.12%
B,,20.87%,0.09%
A,,10.81%,0.09%
ACDC,,0.74%,8.82%
R,,25.61%,0.13%
L,,15.76%,0.14%
Blueberry,,16.57%,0.07%
Headband,,21.83%,0.09%
White,,13.39%,0.05%
Black Cherry Soda,,23.53%,0.25%
Blue Dream 8579,,12.85%,< 0.01%
Ghost Train Haze,,17.58%,0.48%
Sugar Plum Veganic Medicine,,16.56%,1.94%
Purple Afghani Veganic Medicine,,20.94%,1.38%
Tarzia,,17.64%,< 0.01%
WiFi OG,,19.00%,0.09%
Charlotte’s Web,,20.96%,0.15%
Dutch Treat,,22.05%,0.21%
OG Kush,,17.05%,0.10%
Future 0916,,5.14%,< 0.01%
White Widow,,23.88%,0.26%
Gorilla Glue,,14.77%,0.16%
Gorilla Glue,,17.20%,< 0.01%
Gummi,,6.47%,8.97%
Full Circle,,19.35%,0.32%
PBBxSSS 3816,,10.01%,< 0.01%
LA Soda 6417,,13.66%,< 0.01%
Acapulco Gold 3868,,14.14%,< 0.01%
God's Gift 2497,,12.49%,< 0.01%
Blue Dream 0222,,18.82%,0.08%
LA Soda 8573,,16.34%,0.10%
Cinex 6221,,15.24%,0.20%
Diamond Widow 9942,,13.66%,< 0.01%
Grape Ape (Veganic Medicine),,18.44%,0.15%
Chernobyl (Veganic Medicine),,18.38%,0.08%
Mistress,,12.09%,0.03%
Sugar Plum,,9.32%,< 0.01%
Frankenstein,,19.88%,< 0.01%
Optimus Prime,,13.21%,< 0.01%
Purple Urkle,,4.17%,< 0.01%
Purple Nepalese,,18.26%,< 0.01%
Bay Dream unit 1,,12.02%,< 0.01%
Bay Dream unit 2,,7.64%,< 0.01%
Critical Skunk,,12.27%,< 0.01%
gw12a,,1.46%,18.62%
Bush League,,17.63%,< 0.01%
Bush League 02,,17.57%,< 0.01%
Old Sparky,,2.73 mg,< 0.01 mg
Burmese Indica,,16.28%,0.03%
Black Berry indoor,,16.44%,0.19%
Grape Ape,,14.29%,0.21%
Blue City Diesel,,11.56%,0.30%
Black Berry outdoor,,16.82%,0.42%
Honey B.,,16.01%,0.46%
White Max,,9.25%,0.27%
Purple Punch,,17.88%,0.04%
Kryptonite,,7.81%,0.05%
P.I.E.,,23.69%,< 0.01%
3B,,15.46%,0.25%
2B,,15.30%,0.13%
1B,,14.99%,0.16%
Tutankhamon,,16.71%,< 0.01%
PHD,,22.28%,0.01%
Lucy’s Lion,,0.60%,8.62%
GG3A,,22.05%,0.14%
Super Silver Haze,,19.50%,0.08%
3 Queens,,17.51%,0.04%
Burmese Indica,,21.15%,0.10%
Purple Kush,,N/A,N/A
BB2,,18.83%,< 0.01%
The Wills AKA Williams Wonder,,22.48%,0.04%
Critical Kush,,21.75%,0.46%
B,,22.55%,0.16%
A,,23.34%,0.16%
E,,22.91%,0.29%
D,,17.55%,0.13%
C,,21.69%,0.36%
Pineapple Express – MM,,22.04%,0.09%
Dutch 420,,20.74%,0.17%
Bk 420,,22.71%,0.16%
Blue 420,,19.21%,0.15%
Homegrown Indica,,7.59%,0.07%
Holy Grail Kush (HGK),,26.88%,0.23%
BHHB,,19.62%,0.12%
Grand Daddy Purp,,17.78%,0.16%
Blue Dream Bruce,,22.20%,0.25%
OG Skywalker Bruce,,23.72%,0.23%
Purple Afghani (Veganic Medicine),,24.32%,0.08%
Ghost,,25.79%,0.26%
Pan/GF,,19.46%,0.14%
BTHB,,20.31%,0.07%
Dutch Treat,,25.34%,0.13%
Girl Scout Cookie,,15.43%,0.05%
OG 0247,,18.59%,0.21%
OG 6946,,18.10%,0.17%
Raw Pulp CJ,,6.43%,0.03%
Dried Flower Cracker Jack,,20.51%,0.21%
GBSI,,5.15%,7.87%
Tangilope,,14.36%,0.03%
El Fuego,,17.73%,0.08%
Chocolope,,20.75%,0.06%
Animal Crackers #1,,21.79%,0.15%
CO Kush #4,,20.69%,0.15%
Animal Crackers #4,,21.68%,0.18%
Girl Scout Cookie x Gorilla Glue #4,,17.56%,0.09%
King’s Kush,,18.25%,0.15%
Mint Chocolate Chip,,16.99%,0.15%
Canna-Tsu,,5.34%,12.68%
AC/DC,,7.25%,14.36%
Triangle Kush,,18.66%,0.19%
AC/DC x Bubster #99,,21.29%,0.16%
Canna-Tsu x Bubster #23,,18.62%,0.22%
Batch 35 Spent Trim,,1.65%,< 0.01%
Big Buddah Cheese,,16.94%,0.17%
Bubbalicious,,13.37%,0.13%
Sour Tsunami,,0.81%,11.42%
Maui Killaz,,20.31%,0.23%
Heavy Duty Fruity,,19.65%,0.15%
Blue Magoo,,18.26%,0.21%
Sharloxx,,10.24%,7.55%
Obama Kush,,16.30%,0.10%
AC/DC,,17.09%,0.12%
Sugar Plum,,24.58%,0.20%
Glookie,,20.74%,0.10%
Gorilla Glue,,20.36%,0.14%
G.S. Cookie,,19.12%,0.12%
Czech CBD,,0.15%,3.39%
Black Jack,,19.74%,0.22%
Blue City Diesel (TH),,17.18%,0.16%
Gorilla Glue (FFF),,22.01%,0.14%
Sinmint Cookies,,30.59%,0.28%
Jack Herer,,18.14%,0.07%
Kosher Kush,,25.20%,0.10%
Platinum Kush,,16.57%,0.24%
Head Band,,26.44%,0.08%
Cinx,,19.17%,0.12%
Pineapple Kush (Verdantwaye),,15.06%,0.11%
GSC (Sticky Fingers),,22.73%,0.14%
Marz Cut OG Kush,,18.52%,0.11%
Lavender OG,,13.14%,0.12%
Alien Hand Grenade (GC Labs),,8.58%,0.07%
House and Garden Cherry Pie (Stickyfingers),,14.97%,0.10%
Fred’s Jamaican,,16.00%,0.15%
Grateful Puff #3,,20.60%,0.20%
Cin X,,14.45%,0.12%
Blue Blood,,18.13%,0.13%
Dog Walker (GC Lab),,21.22%,0.21%
Tangie Banana Surprise (GC Lab),,15.80%,0.11%
Bruce Banner #3 (GC Labs),,25.71%,0.25%
Green Crack (GC Labs),,17.38%,0.14%
GD1,,16.51%,0.13%
CP1,,19.67%,0.15%
KK1,,16.20%,0.12%
D1,,21.13%,0.20%
GS1,,16.29%,0.13%
PF1,,17.04%,0.14%
PG1,,20.66%,0.14%
Himalayan Golden Flo,,19.09%,0.15%
Lodi Dodi,,20.70%,0.27%
AC/DC,,6.01%,12.22%
HeadBand Heads,,23.24%,0.12%
HeadBand Lows,,23.85%,0.12%
HeadBand Mids,,24.69%,0.12%
Holy Grail Kush,,25.42%,0.21%
Purple Chemdawg #2,,23.94%,0.13%
Purple Chemdawg #1,,21.29%,0.12%
Sour Blueberry,,18.56%,0.15%
BK 420,,20.03%,0.16%
Ghost,,19.76%,0.23%
Burmese Kush,,16.20%,0.05%
Platinum Blackberry Kush,,19.74%,0.07%
Honey Boo Boo,,15.22%,0.11%
Cherry Pie (StickyFingers),,17.41%,0.12%
LA Cheese,,21.50%,0.22%
Organic GG #4,,23.53%,0.14%
Dutch Treat,,18.14%,0.19%
Cookies & Cream,,20.00%,0.19%
Fire Alien Kush,,15.72%,0.10%
UK Cheese,,12.94%,0.22%
Chunky Cherry Malwi #1,,18.38%,0.21%
Chunky Cherry Malwi #2,,13.25%,0.11%
Critical Cure,,7.63%,10.05%
Cheesy Headband,,18.08%,0.18%
White Alien,,15.05%,0.15%
Master Kush,,14.87%,0.15%
Pineapple Express,,21.36%,0.18%
Gorilla Glue #4,,24.41%,0.06%
Gorilla Glue #3,,0.94%,11.54%
Gorilla Glue #2,,9.13%,0.04%
DST,,10.23%,0.11%
Lucy’s Lion,,1.55%,9.88%
Pandora’s Box,,18.31%,0.07%
Tahoe OG,,13.16%,0.04%
Chem Dog,,18.49%,0.18%
T1,,23.50%,0.21%
Blue City Diesel,,9.32%,0.19%
B21 CBD,,0.21%,1.28%
B21 Spent Trim (CBD),,0.02%,0.16%
B22 Spent Trim (THC),,0.66%,0.01%
GG #4 (StickyFingers),,22.53%,0.13%
The Dude’s Glue,,21.01%,0.21%
Choctaw Orange Kush,,20.12%,0.17%
Stephen Hawkins,,1.08%,17.97%
Green Cush,,17.65%,0.13%
Xtreme OG,,19.99%,0.20%
Dutch Treat,,23.72%,0.25%
Gorilla Glue #4,,26.51%,0.17%
Cookies N Cream,,23.71%,0.22%
Marionberry Kush,,20.07%,0.17%
Ken Dawg,,23.43%,0.21%
Pre 98 Bubba Kush,,18.46%,0.12%
Bubblicious,,16.74%,0.15%
Black Jack,,16.25%,0.17%
Sour Banana Sherbert,,21.71%,0.26%
OG Kush,,21.16%,0.11%
Blue Dream,,22.49%,0.21%
Blue Rhino,,16.32%,0.16%
GC Lab 818 Headband,,25.34%,0.25%
GC Lab Maui Wowie,,23.00%,0.22%
GC Lab Obama Kush,,15.86%,0.08%
GC Lab Green Cheese,,23.24%,0.29%
GDP,,22.53%,0.17%
Dog Walker,,20.99%,0.23%
GC Lab Green Crack,,19.84%,0.17%
Sherbert,,17.80%,0.10%
Purple Drank,,13.51%,0.09%
AK-47,,16.78%,0.11%
Adro’s Garden Harlequin Backcross,,19.63%,0.15%
CK1,,26.87%,0.41%
Blue Haze,,20.26%,0.23%
Purple Master Kush (H),,20.42%,0.11%
Purple Master Kush (M),,19.61%,0.09%
Permafrost,,15.77%,0.15%
Blackberry Pie,,13.57%,0.11%
BBT x GSC,,15.78%,0.10%
Dutch Treat,,27.48%,0.26%
Mint Chocolate Chip,,23.46%,0.26%
Cookies n Cream,,25.70%,0.24%
Kimbo Kush,,19.41%,0.21%
Gorilla Glue #4,,22.57%,0.13%
Adak OG,,18.85%,0.20%
Gorilla Glue #4,,19.46%,0.11%
Milf,,19.95%,0.14%
Hawk Eye,,7.44%,6.50%
Star Fruit (Da Bakery),,21.67%,0.12%
Couch-berry,,14.57%,0.14%
Freezeland,,15.68%,0.17%
Hawaiian Storm,,17.97%,0.18%
Strawberry Delight (Rubicon),,21.25%,0.18%
Keylime Pie (Rubicon),,22.86%,0.18%
Dojo OG (Dojo Gardens),,19.89%,0.22%
Green Crack (Dojo Gardens),,18.46%,0.15%
Master Kush (Dojo Gardens),,14.78%,0.12%
Lavender (Dojo Gardens),,22.94%,0.16%
Charlotte’s Webb Flower,,8.80%,11.65%
Strawberry Diesel,,12.33%,0.12%
Gorilla Glue #4,,22.00%,0.14%
Whidbey Gold,,20.76%,0.13%
Harley Tsu-Can,,6.07%,4.46%
Ace of Spades,,16.85%,0.13%
Tahoe OG,,20.91%,0.25%
Gorilla Glue #4,,20.60%,0.10%
Black Betty – Ken,,14.99%,0.24%
Greatfull Puff #3,,19.01%,0.18%
El Fuego,,18.73%,0.11%
Tangilope,,15.66%,0.20%
Chocolope,,19.75%,0.11%
