id_x,names,type,crosses,breeder,effects,ailment,flavor,name,category,THC-Total,CBD-Total
3280,Silvertip,Hybrid,,Unknown Breeder,,,,Silvertip - Shatter,"Concentrate,Shatter,",22.58%,< 0.01%
3281,Slymer Cheez,Hybrid,,Unknown Breeder,,,,Slymer Cheez - Shatter,"Concentrate,Shatter,",,
3282,Skunk Mango (Mango Skunk),Hybrid,,Kannabia,,,,Skunk Mango (Mango Skunk) - Shatter,"Concentrate,Shatter,",,
3283,Cheez It,Hybrid,,Unknown Breeder,,,,Cheez It - Shatter,"Concentrate,Shatter,",,
3284,Pestilence S1,Hybrid,,Illuminati Seeds,,,,,,,
3285,Banana Mint,Hybrid,,Illuminati Seeds,,,,Banana Mint - Shatter,"Concentrate,Shatter,",,
3286,Blackberry Beret,Hybrid,,Unknown Breeder,,,,,,,
3287,Citrus Sap,Hybrid,,DNA Genetics,,,,Citrus Sap - Shatter,"Concentrate,Shatter,",22.03%,0.12%
3288,Jack the Elder,Hybrid,,Unknown Breeder,,,,Jack the Elder - Vaporizer Cartridge,"Vapes,Vape Cartidge,",,
3289,Wrecking Ball,Hybrid,,Unknown Breeder,,,,,,,
3290,Pure Kush x XXX,Hybrid,,Unknown Breeder,,,,Pure Kush x XXX - Water Hash,"Concentrate,Bubble Hash,",,
3291,Trubble,Hybrid,,Unknown Breeder,,,,,,,
3292,Rough Wreck,Hybrid,,Unknown Breeder,,,,,,,
3293,Oaxacan Querkle,Hybrid,,TGA Seeds,,,,,,,
3294,Jackberry Kush,Hybrid,,Unknown Breeder,,,,,,,
3295,Star Fox,Hybrid,,Unknown Breeder,,,,,,,
3296,Wreckle,Hybrid,,Unknown Breeder,,,,,,,
3297,OG-47,Hybrid,,CannaVenture,,,,,,,
3298,Moon Walker OG,Hybrid,,Unknown Breeder,,,,,,,
3299,XXX OG (Triple X OG),Hybrid,,Unknown Breeder,,,,XXX OG (Triple X OG) - Vaporizer Cartridge,"Vapes,Vape Cartidge,",,
3300,Dr. Dog,Hybrid,,Unknown Breeder,,,,,,,
3301,Lucky Kush,Hybrid,,Unknown Breeder,,,,Lucky Kush - Oil,"Concentrate,Oil,",,
3302,Black Hole,Hybrid,,Elite Seeds,,,,,,,
3303,Long-Valley Royal Kush,Hybrid,,Aficionado Seeds,,,,,,,
3304,Cherry Pie OG,Hybrid,,Unknown Breeder,,,,Cherry Pie OG - Vaporizer Cartridge,"Vapes,Vape Cartidge,",,
3305,Early Vixen,Hybrid,,Crop King Seeds,,,,,,,
3306,Candy Cream,Hybrid,,Seedsman Cannabis Seeds,,,,,,,
